destination,country,region,budget_level,has_hiking,has_beach,culture_score,luxury_score,tourism_level,family_friendly,nightlife_level,avg_temp_peak
Sarajevo,Bosnia and Herzegovina,Europe,low,0,1,0.48,0.32,low,0.68,0.27,27
Mostar,Bosnia and Herzegovina,Europe,low,0,0,0.77,0.21,low,0.47,0.6,27
Tirana,Albania,Europe,low,1,0,0.54,0.39,medium,0.68,0.59,27
Shkoder,Albania,Europe,low,0,0,0.79,0.15,medium,0.7,0.58,28
Skopje,North Macedonia,Europe,low,1,0,0.73,0.1,medium,0.56,0.55,32
Sofia,Bulgaria,Europe,low,1,1,0.58,0.32,low,0.64,0.46,31
Plovdiv,Bulgaria,Europe,low,1,1,0.53,0.12,medium,0.72,0.39,28
Belgrade,Serbia,Europe,low,0,0,0.47,0.11,medium,0.44,0.36,30
Nis,Serbia,Europe,low,0,0,0.61,0.33,medium,0.73,0.44,33
Yerevan,Armenia,Europe/Asia,low,0,0,0.68,0.39,medium,0.73,0.38,33
Gyumri,Armenia,Europe/Asia,low,1,0,0.61,0.43,medium,0.43,0.56,30
Bishkek,Kyrgyzstan,Asia,low,1,0,0.59,0.17,low,0.7,0.45,32
Karakol,Kyrgyzstan,Asia,low,0,1,0.67,0.44,low,0.52,0.69,34
Tashkent,Uzbekistan,Asia,low,0,0,0.74,0.29,medium,0.68,0.35,34
Lviv,Ukraine,Europe,low,0,1,0.45,0.4,low,0.45,0.36,24
Riga,Latvia,Europe,low,0,1,0.75,0.15,low,0.68,0.51,22
Vilnius,Lithuania,Europe,low,0,0,0.47,0.36,medium,0.66,0.46,34
Kuala Lumpur,Malaysia,Asia,low,1,1,0.66,0.26,low,0.62,0.58,32
Penang,Malaysia,Asia,low,1,0,0.68,0.11,medium,0.7,0.44,23
Lombok,Indonesia,Asia,low,1,1,0.77,0.13,low,0.61,0.28,26
Kathmandu,Nepal,Asia,low,1,0,0.8,0.29,medium,0.61,0.29,33
Galle,Sri Lanka,Asia,low,0,1,0.68,0.37,medium,0.48,0.45,25
Maldives,Maldives,Asia,high,0,1,0.78,0.88,high,0.58,0.59,26
Bora Bora,French Polynesia,Oceania,high,0,0,0.72,0.89,medium,0.48,0.64,29
Dubai,United Arab Emirates,Middle East,high,0,1,0.47,0.99,high,0.72,0.63,31
Monaco,Monaco,Europe,high,1,0,0.84,0.92,high,0.68,0.55,33
St. Moritz,Switzerland,Europe,high,0,0,0.59,0.91,medium,0.56,0.55,31
Courchevel,France,Europe,high,1,1,0.7,0.93,medium,0.82,0.82,26
Aspen,United States,North America,high,0,0,0.56,0.95,high,0.59,0.53,22
St. Barts,Saint Barthelemy,Caribbean,high,1,1,0.61,0.83,high,0.46,0.79,24
Capri,Italy,Europe,high,0,1,0.63,0.83,high,0.58,0.87,20
Amalfi Coast,Italy,Europe,high,0,0,0.51,0.92,high,0.56,0.75,33
French Riviera,France,Europe,high,1,1,0.62,0.84,high,0.59,0.5,33
Mykonos,Greece,Europe,high,1,1,0.57,0.84,high,0.47,0.54,24
Ibiza,Spain,Europe,high,0,1,0.57,0.82,high,0.62,0.51,25
Maui,United States,North America,high,1,1,0.78,0.96,medium,0.79,0.47,18
Fiji,Fiji,Oceania,high,0,0,0.79,0.92,high,0.73,0.64,21
Mauritius,Mauritius,Africa,high,0,0,0.84,0.83,high,0.63,0.76,29
Lake Como,Italy,Europe,high,0,1,0.79,0.85,high,0.66,0.63,27
St. Lucia,Saint Lucia,Caribbean,high,1,1,0.54,0.96,medium,0.7,0.69,24
Cannes,France,Europe,high,0,1,0.74,0.96,high,0.54,0.52,24
Sardinia,Italy,Europe,high,0,1,0.51,0.95,medium,0.83,0.73,32
Doha,Qatar,Middle East,high,1,1,0.63,0.98,high,0.7,0.73,28
Abu Dhabi,United Arab Emirates,Middle East,high,0,1,0.48,0.89,high,0.56,0.48,34
Singapore,Singapore,Asia,high,0,1,0.63,0.81,high,0.56,0.74,20
Tokyo,Japan,Asia,high,1,1,0.65,0.89,high,0.77,0.85,32
Zurich,Switzerland,Europe,high,1,1,0.53,0.92,high,0.83,0.65,28
London,United Kingdom,Europe,high,1,0,0.65,0.83,medium,0.63,0.65,34
New York City,United States,North America,high,1,0,0.6,0.98,high,0.76,0.76,19
Los Angeles,United States,North America,high,1,1,0.58,0.87,high,0.6,0.56,22
Napa Valley,United States,North America,high,0,0,0.68,0.83,high,0.84,0.76,30
Soneva Fushi,Maldives,Asia,high,0,1,0.73,0.82,high,0.71,0.6,22
Seychelles Private Islands,Seychelles,Africa,high,1,1,0.78,0.95,high,0.66,0.74,31
Côte d'Azur,France,Europe,high,1,1,0.46,0.86,high,0.59,0.79,24
Whistler,Canada,North America,high,0,0,0.51,0.86,high,0.65,0.69,34
Orlando,United States,North America,medium,0,0,0.71,0.41,medium,0.94,0.5,32
Anaheim,United States,North America,medium,0,0,0.64,0.62,medium,0.89,0.36,29
Copenhagen,Denmark,Europe,high,0,0,0.61,0.67,medium,0.97,0.4,27
Amsterdam,Netherlands,Europe,low,0,1,0.77,0.55,medium,0.83,0.33,27
Vancouver,Canada,North America,medium,0,0,0.72,0.7,high,0.82,0.59,31
San Diego,United States,North America,medium,0,0,0.6,0.71,medium,0.89,0.63,21
Gold Coast,Australia,Oceania,high,0,0,0.65,0.51,medium,0.88,0.28,21
Singapore Family,Singapore,Asia,medium,0,1,0.78,0.41,medium,0.97,0.53,20
Tokyo Disney Area,Japan,Asia,high,0,1,0.72,0.71,medium,0.84,0.31,29
Legoland Billund,Denmark,Europe,high,0,0,0.77,0.45,medium,0.85,0.51,27
Costa Brava,Spain,Europe,medium,0,1,0.71,0.36,medium,0.85,0.31,24
Tenerife,Spain,Europe,medium,0,0,0.7,0.42,high,0.9,0.39,26
Canary Islands,Spain,Europe,medium,1,0,0.64,0.54,high,1.0,0.35,18
Albufeira,Portugal,Europe,medium,0,1,0.58,0.61,medium,0.92,0.55,20
Dubrovnik,Croatia,Europe,medium,1,1,0.78,0.42,high,0.89,0.53,28
Ljubljana,Slovenia,Europe,medium,0,0,0.75,0.73,medium,0.84,0.57,32
Salzburg,Austria,Europe,medium,0,1,0.85,0.57,medium,0.95,0.33,23
Lucerne,Switzerland,Europe,high,0,1,0.6,0.67,medium,0.88,0.43,24
Munich,Germany,Europe,medium,0,1,0.74,0.5,high,0.85,0.28,24
Stockholm,Sweden,Europe,medium,1,0,0.69,0.48,medium,0.93,0.37,27
Oslo,Norway,Europe,high,0,1,0.62,0.37,high,0.87,0.65,22
Helsinki,Finland,Europe,high,0,0,0.73,0.51,medium,0.95,0.31,18
Seoul,South Korea,Asia,medium,1,1,0.51,0.38,high,0.87,0.4,27
Taipei,Taiwan,Asia,medium,0,1,0.83,0.5,high,0.91,0.46,24
Hong Kong,Hong Kong,Asia,medium,0,0,0.84,0.36,medium,0.9,0.62,19
Sydney,Australia,Oceania,medium,0,1,0.58,0.59,high,1.0,0.33,20
Melbourne,Australia,Oceania,high,0,0,0.81,0.53,medium,0.94,0.59,23
Auckland,New Zealand,Oceania,high,1,0,0.69,0.47,medium,0.83,0.53,29
Quebec City,Canada,North America,high,0,0,0.54,0.43,medium,0.96,0.26,26
Washington DC,United States,North America,high,0,0,0.71,0.38,medium,1.0,0.54,26
Boston,United States,North America,medium,0,0,0.54,0.48,medium,0.89,0.46,20
San Antonio,United States,North America,high,1,0,0.77,0.4,medium,0.97,0.58,26
Valencia,Spain,Europe,medium,0,0,0.61,0.63,medium,0.99,0.61,31
